"mushaf_key,surah_number,ayah_number,page_number,x,y,width,height,polygon",surah_number,ayah_number,page_number,x,y,width,height,polygon
douri,1,1,1,23.823975720789075,36.455002284148016,26.327769347496204,4.248515303791685,"[{""x"": 23.823975720789075, ""y"": 36.455002284148016, ""width"": 26.327769347496204, ""height"": 4.248515303791685}, {""x"": 21.396054628224583, ""y"": 40.657834627683876, ""width"": 35.50834597875569, ""height"": 3.9744175422567385}]"
douri,1,2,1,42.03338391502276,44.58656920968479,20.18209408194234,3.883051621745089,"[{""x"": 42.03338391502276, ""y"": 44.58656920968479, ""width"": 20.18209408194234, ""height"": 3.883051621745089}]"
douri,1,3,1,15.781487101669194,44.860666971219736,22.76176024279211,3.791685701,"[{""x"": 15.781487101669194, ""y"": 44.860666971219736, ""width"": 22.76176024279211, ""height"": 3.7916857012334404}]"
douri,1,4,1,25.87253414264036,48.743718592964825,36.41881638846737,3.700319780721791,"[{""x"": 25.87253414264036, ""y"": 48.743718592964825, ""width"": 36.41881638846737, ""height"": 3.7003197807217907}]"
douri,1,5,1,11.760242792109256,49.10918227501142,10.47040971168437,3.243490178163545,"[{""x"": 11.760242792109256, ""y"": 49.10918227501142, ""width"": 10.47040971168437, ""height"": 3.2434901781635452}, {""x"": 38.998482549317146, ""y"": 52.535404294198266, ""width"": 22.382397572078908, ""height"": 3.9287345820009136}]"
douri,1,6,1,13.050075872534142,52.48972133394244,22.382397572078908,3.9744175422567385,"[{""x"": 13.050075872534142, ""y"": 52.48972133394244, ""width"": 22.382397572078908, ""height"": 3.9744175422567385}, {""x"": 48.25493171471928, ""y"": 57.01233439926907, ""width"": 8.49772382397572, ""height"": 3.654636820465966}]"
douri,1,7,1,17.374810318664643,56.69255367747829,27.31411229135053,4.065783462768388,"[{""x"": 17.374810318664643, ""y"": 56.692553677478294, ""width"": 27.31411229135053, ""height"": 4.065783462768388}, {""x"": 29.81790591805766, ""y"": 60.57560529922339, ""width"": 18.512898330804248, ""height"": 3.746002740977615}]"
douri,2,1,2,49.31714719271624,36.22658748286889,26.251896813353564,4.294198264,"[{""x"": 49.317147192716234, ""y"": 36.22658748286889, ""width"": 26.251896813353564, ""height"": 4.29419826404751}, {""x"": 43.32321699544765, ""y"": 40.38373686614893, ""width"": 38.61911987860395, ""height"": 4.065783462768388}, {""x"": 78.22458270106222, ""y"": 44.76930105070809, ""width"": 9.028831562974203, ""height"": 3.380539058931019}]"
douri,2,2,2,37.784522,44.40383736866149,36.798179059180576,4.111466423024212,"[{""x"": 37.7845220030349, ""y"": 44.40383736866149, ""width"": 36.798179059180576, ""height"": 4.111466423024212}, {""x"": 64.56752655538695, ""y"": 48.56098675194153, ""width"": 23.368740515933233, ""height"": 4.157149383280037}]"
douri,2,3,2,36.949924127465856,48.42393787117405,24.27921092564492,4.0201005025125625,"[{""x"": 36.949924127465856, ""y"": 48.42393787117405, ""width"": 24.279210925644918, ""height"": 4.0201005025125625}, {""x"": 42.03338391502276, ""y"": 52.30698949291914, ""width"": 44.916540212443095, ""height"": 4.29419826404751}]"
