surah_number,ayah_number,page_number,x,y,width,height,polygon
1,1,1,26.40532544378698,37.21233174120712,25.073964497041416,4.038211029092488,"[{""x"": 26.40532544378698, ""y"": 37.21233174120712, ""width"": 25.073964497041416, ""height"": 4.038211029092488}, {""x"": 23.964497041420117, ""y"": 40.94659140251846, ""width"": 34.24556213017752, ""height"": 3.734259661311333}]"
1,2,1,43.78698224852072,44.76769431176726,19.00887573964497,3.734259661311333,"[{""x"": 43.786982248520715, ""y"": 44.76769431176726, ""width"": 19.00887573964497, ""height"": 3.734259661311333}]"
1,3,1,18.786982248520708,44.811115935736,21.89349112426036,3.4737299174989147,"[{""x"": 18.786982248520708, ""y"": 44.811115935736, ""width"": 21.893491124260358, ""height"": 3.4737299174989147}]"
1,4,1,27.884615384615387,48.41511072514112,35.428994082840234,3.907946157186279,"[{""x"": 27.884615384615387, ""y"": 48.41511072514112, ""width"": 35.428994082840234, ""height"": 3.907946157186279}]"
1,5,1,14.275147928994084,48.58879722101607,10.059171597633137,3.3000434216239687,"[{""x"": 14.275147928994084, ""y"": 48.588797221016065, ""width"": 10.059171597633137, ""height"": 3.3000434216239687}, {""x"": 39.866863905325445, ""y"": 52.27963525835866, ""width"": 22.041420118343193, ""height"": 3.690838037342597}]"
1,6,1,15.458579881656808,52.14937038645245,21.301775147929,3.734259661311333,"[{""x"": 15.458579881656807, ""y"": 52.14937038645245, ""width"": 21.301775147928996, ""height"": 3.734259661311333}, {""x"": 49.40828402366864, ""y"": 56.31784628745115, ""width"": 8.284023668639055, ""height"": 3.430308293530178}]"
1,7,1,19.97041420118343,56.10073816760747,25.961538461538463,3.864524533217542,"[{""x"": 19.97041420118343, ""y"": 56.10073816760747, ""width"": 25.961538461538463, ""height"": 3.864524533217542}, {""x"": 32.24852071005917, ""y"": 59.79157620495007, ""width"": 18.19526627218935, ""height"": 3.560573165436387}]"
2,1,2,48.66863905325444,37.21233174120712,25.22189349112426,3.907946157186279,"[{""x"": 42.08579881656805, ""y"": 40.72948328267477, ""width"": 37.64792899408284, ""height"": 3.7776812852800696}, {""x"": 48.66863905325444, ""y"": 37.21233174120712, ""width"": 25.22189349112426, ""height"": 3.907946157186279}, {""x"": 75.96153846153845, ""y"": 44.941380807642204, ""width"": 9.023668639053255, ""height"": 3.3000434216239687}]"
2,2,2,36.98224852071006,44.59400781589232,35.946745562130175,3.951367781155015,"[{""x"": 36.98224852071006, ""y"": 44.59400781589232, ""width"": 35.946745562130175, ""height"": 3.951367781155015}, {""x"": 63.46153846153846, ""y"": 48.588797221016065, ""width"": 22.411242603550296, ""height"": 3.821102909248806}]"
2,3,2,36.16863905325444,48.24142422926617,23.5207100591716,3.951367781155015,"[{""x"": 36.16863905325444, ""y"": 48.24142422926617, ""width"": 23.5207100591716, ""height"": 3.951367781155015}, {""x"": 41.05029585798817, ""y"": 52.10594876248371, ""width"": 43.786982248520715, ""height"": 3.994789405123752}]"
2,4,2,42.67751479289941,55.88363004776379,36.98224852071006,3.907946157186279,"[{""x"": 42.67751479289941, ""y"": 55.88363004776379, ""width"": 36.98224852071006, ""height"": 3.907946157186279}, {""x"": 53.84615384615385, ""y"": 59.87841945288754, ""width"": 18.713017751479292, ""height"": 3.64741641337386}]"
2,5,3,10.0,13.424657534246576,80.83333333333333,4.840182648401827,"[{""x"": 10.0, ""y"": 13.424657534246576, ""width"": 80.83333333333333, ""height"": 4.840182648401827}, {""x"": 76.0, ""y"": 18.72146118721461, ""width"": 14.666666666666666, ""height"": 4.10958904109589}]"
2,6,3,9.5,18.21917808219178,61.66666666666667,4.9771689497716896,"[{""x"": 9.5, ""y"": 18.21917808219178, ""width"": 61.66666666666667, ""height"": 4.9771689497716896}, {""x"": 34.25, ""y"": 22.602739726027394, ""width"": 56.333333333333336, ""height"": 5.525114155251141}]"
2,7,3,10.0,23.65296803652968,19.0,4.200913242009133,"[{""x"": 10.0, ""y"": 23.652968036529682, ""width"": 19.0, ""height"": 4.200913242009133}, {""x"": 14.249999999999998, ""y"": 28.036529680365298, ""width"": 75.66666666666667, ""height"": 5.159817351598173}]"
2,8,3,9.333333333333334,32.8310502283105,81.41666666666667,4.931506849315069,"[{""x"": 9.333333333333334, ""y"": 32.8310502283105, ""width"": 81.41666666666667, ""height"": 4.931506849315069}, {""x"": 71.58333333333333, ""y"": 38.49315068493151, ""width"": 19.083333333333332, ""height"": 4.155251141552512}]"
