mushaf_key,surah_number,ayah_number,page_number,x,y,width,height,polygon
hafs,1,1,1,28.635346756152124,36.82046596619461,23.862788963460105,3.883051621745089,"[{""x"": 28.635346756152124, ""y"": 36.82046596619461, ""width"": 23.862788963460105, ""height"": 3.883051621745089}]"
hafs,1,2,1,24.086502609992543,40.84056646870717,33.63161819537658,3.746002740977615,"[{""x"": 24.086502609992543, ""y"": 40.84056646870717, ""width"": 33.63161819537658, ""height"": 3.746002740977615}]"
hafs,1,3,1,43.997017151379566,44.63225216994061,19.09023117076808,3.700319780721791,"[{""x"": 43.997017151379566, ""y"": 44.632252169940614, ""width"": 19.09023117076808, ""height"": 3.7003197807217907}]"
hafs,1,4,1,19.09023117076808,44.860666971219736,21.62565249813572,3.700319780721791,"[{""x"": 19.09023117076808, ""y"": 44.860666971219736, ""width"": 21.625652498135718, ""height"": 3.7003197807217907}]"
hafs,1,5,1,27.8896346,48.698035632708994,35.495898583146904,3.563270899954317,"[{""x"": 27.889634601043994, ""y"": 48.698035632708994, ""width"": 35.495898583146904, ""height"": 3.563270899954317}]"
hafs,1,6,1,14.76510067114094,48.83508451347648,9.843400447427292,3.2891731384193696,"[{""x"": 14.76510067114094, ""y"": 48.835084513476474, ""width"": 9.843400447427292, ""height"": 3.2891731384193696}, {""x"": 40.86502609992543, ""y"": 52.48972133394244, ""width"": 21.10365398956003, ""height"": 3.6089538602101414}]"
hafs,1,7,1,16.181953765846384,52.39835541343079,21.17822520507084,3.746002740977615,"[{""x"": 21.10365398956003, ""y"": 56.418455915943355, ""width"": 35.94332587621179, ""height"": 3.7916857012334404}, {""x"": 16.181953765846384, ""y"": 52.398355413430785, ""width"": 21.17822520507084, ""height"": 3.746002740977615}, {""x"": 32.065622669649514, ""y"": 60.34719049794427, ""width"": 17.747949291573452, ""height"": 3.5175879396984926}]"
hafs,2,1,2,48.91871737509321,36.82046596619461,24.01193139448173,3.700319780721791,"[{""x"": 48.91871737509321, ""y"": 36.82046596619461, ""width"": 24.01193139448173, ""height"": 3.7003197807217907}, {""x"": 75.46607009694259, ""y"": 41.20603015075377, ""width"": 4.026845637583892, ""height"": 2.8323435358611238}]"
hafs,2,2,2,42.43102163,40.70351759,30.12677106636838,3.700319780721791,"[{""x"": 42.4310216256525, ""y"": 40.7035175879397, ""width"": 30.12677106636838, ""height"": 3.7003197807217907}, {""x"": 75.98806860551827, ""y"": 44.99771585198721, ""width"": 8.575689783743474, ""height"": 3.1521242576518955}]"
hafs,2,3,2,37.80760626,44.58656920968479,34.97390007457122,3.791685701,"[{""x"": 37.8076062639821, ""y"": 44.58656920968479, ""width"": 34.97390007457122, ""height"": 3.7916857012334404}, {""x"": 62.86353467561522, ""y"": 48.743718592964825, ""width"": 22.0730797912006, ""height"": 3.7003197807217907}]"
hafs,2,4,2,36.61446682,48.37825491091823,23.11707680835197,3.837368661489265,"[{""x"": 36.6144668158091, ""y"": 48.37825491091823, ""width"": 23.117076808351978, ""height"": 3.837368661489265}, {""x"": 41.08873974645787, ""y"": 52.30698949291914, ""width"": 43.54958985831469, ""height"": 3.9744175422567385}]"
hafs,2,5,2,42.878448918717375,56.14435815,36.46532438478747,3.9287345820009136,"[{""x"": 42.878448918717375, ""y"": 56.1443581544084, ""width"": 36.46532438478747, ""height"": 3.9287345820009136}, {""x"": 53.691275167785236, ""y"": 60.43855641845591, ""width"": 18.19537658463833, ""height"": 3.380539058931019}]"
hafs,2,6,3,8.432708688245315,8.861411643,83.56047700170357,5.770221535291087,"[{""x"": 8.432708688245315, ""y"": 8.86141164348274, ""width"": 83.56047700170357, ""height"": 5.770221535291087}, {""x"": 77.08688245315162, ""y"": 15.19835136527563, ""width"": 15.076660988074957, ""height"": 4.7913446676970635}]"
hafs,2,7,3,8.091993185689947,14.528593508500771,63.62862010221465,5.667181865018032,"[{""x"": 8.091993185689947, ""y"": 14.528593508500773, ""width"": 63.62862010221465, ""height"": 5.667181865018032}, {""x"": 33.30494037478705, ""y"": 19.68057702215353, ""width"": 59.11413969335605, ""height"": 6.0278207109737245}]"
hafs,2,8,3,8.091993185689947,20.50489438433797,20.357751277683136,4.997424008243174,"[{""x"": 8.091993185689947, ""y"": 20.50489438433797, ""width"": 20.357751277683136, ""height"": 4.997424008243174}, {""x"": 13.458262350936966, ""y"": 25.6053580628542, ""width"": 78.7052810902896, ""height"": 5.615662029881505}]"
hafs,2,9,3,8.773424191,31.117980422462647,83.39011925,5.667181865018032,"[{""x"": 8.77342419080068, ""y"": 31.117980422462647, ""width"": 83.3901192504259, ""height"": 5.667181865018032}, {""x"": 72.7427597955707, ""y"": 37.30036063884595, ""width"": 19.591141396933562, ""height"": 4.739824832560536}]"
hafs,2,10,3,8.262350936967632,36.682122617207625,59.88074957410562,5.770221535291087,"[{""x"": 8.262350936967632, ""y"": 36.682122617207625, ""width"": 59.88074957410562, ""height"": 5.770221535291087}, {""x"": 31.431005110732542, ""y"": 42.29778464708913, ""width"": 60.56218057921635, ""height"": 5.667181865018032}]"
