number,surah_id,no_ayah,page_id,x,y
232,2,225,36,244,105
233,2,226,36,126,144
234,2,227,36,240,183
235,2,228,36,133,339
236,2,229,36,324,536
237,2,230,36,57,616
238,2,231,37,84,220
239,2,232,37,272,376
240,2,233,37,57,613
241,2,234,38,397,183
242,2,235,38,271,379
243,2,236,38,319,499
244,2,237,38,58,616
245,2,238,39,348,105
246,2,239,39,397,185
247,2,240,39,170,302
248,2,241,39,176,340
249,2,242,39,123,379
250,2,243,39,61,497
251,2,244,39,85,537
252,2,245,39,57,616
253,2,246,40,120,259
254,2,247,40,61,455
255,2,248,40,57,613
256,2,249,41,315,340
257,2,250,41,226,418
258,2,251,41,243,575
259,2,252,41,62,616
260,2,253,42,239,260
261,2,254,42,175,338
262,2,255,42,282,535
263,2,256,42,57,613
264,2,257,43,312,183
265,2,258,43,117,339
266,2,259,43,60,616
267,2,260,44,395,220
268,2,261,44,162,300
269,2,262,44,350,416
270,2,263,44,198,458
271,2,264,44,59,615
272,2,265,45,229,183
273,2,266,45,101,340
274,2,267,45,354,496
275,2,268,45,397,575
276,2,269,45,61,614
277,2,270,46,132,105
278,2,271,46,112,221
279,2,272,46,245,379
280,2,273,46,220,538
281,2,274,46,61,615
282,2,275,47,105,223
283,2,276,47,398,303
284,2,277,47,272,381
285,2,278,47,153,419
286,2,279,47,135,500
287,2,280,47,241,577
288,2,281,47,58,615
289,2,282,48,58,617
290,2,283,49,178,184
291,2,284,49,225,304
292,2,285,49,115,420
293,2,286,49,61,619
294,3,1,50,374,145
295,3,2,50,180,146
296,3,3,50,86,184
297,3,4,50,149,263
298,3,5,50,170,302
299,3,6,50,88,343
300,3,7,50,199,539
301,3,8,50,85,578
302,3,9,50,57,617
303,3,10,51,157,106
304,3,11,51,190,185
305,3,12,51,60,225
306,3,13,51,235,381
307,3,14,51,96,499
308,3,15,51,63,619
309,3,16,52,266,104
310,3,17,52,127,142
311,3,18,52,123,222
312,3,19,52,144,340
313,3,20,52,58,457
314,3,21,52,214,576
315,3,22,52,58,615
316,3,23,53,60,104
317,3,24,53,173,182
318,3,25,53,305,260
319,3,26,53,134,341
320,3,27,53,60,418
321,3,28,53,83,537
322,3,29,53,61,617
323,3,30,54,214,142
324,3,31,54,356,225
325,3,32,54,317,262
326,3,33,54,236,301
327,3,34,54,317,341
328,3,35,54,60,380
329,3,36,54,202,499
330,3,37,54,57,616
331,3,38,55,244,106
332,3,39,55,119,182
333,3,40,55,212,263
334,3,41,55,124,340
335,3,42,55,272,420
336,3,43,55,257,459
337,3,44,55,185,536
338,3,45,55,58,617
339,3,46,56,58,65
340,3,47,56,396,181
341,3,48,56,397,223
342,3,49,56,59,378
343,3,50,56,255,496
344,3,51,56,251,537
345,3,52,56,58,618
346,3,53,57,335,105
347,3,54,57,395,142
348,3,55,57,172,260
349,3,56,57,318,340
350,3,57,57,140,378
351,3,58,57,135,416
352,3,59,57,327,498
353,3,60,57,393,535
354,3,61,57,57,614
355,3,62,58,283,108
356,3,63,58,396,146
357,3,64,58,301,264
358,3,65,58,395,342
359,3,66,58,307,420
360,3,67,58,58,458
361,3,68,58,236,538
362,3,69,58,101,577
363,3,70,58,60,615
364,3,71,59,311,104
365,3,72,59,297,182
366,3,73,59,321,301
367,3,74,59,346,339
368,3,75,59,396,497
369,3,76,59,399,535
370,3,77,59,60,615
371,3,78,60,308,184
372,3,79,60,173,302
373,3,80,60,291,381
374,3,81,60,287,538
375,3,82,60,326,577
376,3,83,60,59,617
377,3,84,61,272,183
378,3,85,61,122,224
379,3,86,61,315,341
380,3,87,61,198,381
381,3,88,61,192,421
382,3,89,61,121,459
383,3,90,61,251,537
384,3,91,61,58,616
385,3,92,62,283,105
386,3,93,62,396,223
387,3,94,62,309,261
388,3,95,62,241,301
389,3,96,62,207,342
390,3,97,62,394,460
391,3,98,62,286,498
392,3,99,62,283,576
393,3,100,62,59,616
394,3,101,63,60,103
395,3,102,63,337,182
396,3,103,63,337,338
397,3,104,63,63,378
398,3,105,63,224,458
399,3,106,63,181,535
400,3,107,63,134,575
401,3,108,63,63,615
402,3,109,64,396,100
403,3,110,64,311,219
404,3,111,64,161,259
405,3,112,64,118,414
406,3,113,64,204,495
407,3,114,64,84,574
408,3,115,64,58,612
409,3,116,65,61,102
410,3,117,65,145,220
411,3,118,65,397,379
412,3,119,65,330,498
413,3,120,65,176,573
414,3,121,65,58,614
415,3,122,66,255,106
416,3,123,66,186,144
417,3,124,66,350,225
418,3,125,66,396,302
419,3,126,66,132,341
420,3,127,66,60,381
421,3,128,66,344,461
422,3,129,66,103,498
423,3,130,66,226,578
424,3,131,66,332,618
425,3,132,66,58,617
426,3,133,67,166,105
427,3,134,67,182,186
428,3,135,67,258,301
429,3,136,67,313,380
430,3,137,67,396,459
431,3,138,67,60,460
432,3,139,67,398,536
433,3,140,67,58,616
434,3,141,68,78,63
435,3,142,68,254,144
436,3,143,68,133,183
437,3,144,68,149,303
438,3,145,68,243,420
439,3,146,68,184,499
440,3,147,68,198,578
441,3,148,68,59,618
442,3,149,69,397,147
443,3,150,69,107,148
444,3,151,69,244,266
445,3,152,69,395,499
446,3,153,69,64,618
447,3,154,70,222,341
448,3,155,70,98,420
449,3,156,70,204,579
450,3,157,70,58,618
451,3,158,71,174,63
452,3,159,71,173,183
453,3,160,71,185,262
454,3,161,71,186,338
455,3,162,71,396,418
456,3,163,71,96,418
457,3,164,71,101,537
458,3,165,71,59,614
459,3,166,72,395,102
460,3,167,72,225,219
461,3,168,72,273,298
462,3,169,72,170,335
463,3,170,72,143,416
464,3,171,72,333,496
465,3,172,72,61,534
466,3,173,72,61,613
467,3,174,73,191,107
468,3,175,73,63,148
469,3,176,73,350,263
