surah_number,ayah_number,page_number,x,y,width,height,polygon
1,1,1,37.62517882689557,34.536317953403376,24.17739628040057,4.431247144814984,"[{""x"": 37.625178826895564, ""y"": 34.536317953403376, ""width"": 24.177396280400572, ""height"": 4.431247144814984}, {""x"": 42.48927038626609, ""y"": 38.967565098218365, ""width"": 26.967095851216023, ""height"": 4.248515303791685}]"
1,2,1,29.75679542203148,39.42439470077661,8.798283261802576,3.79168570123344,"[{""x"": 29.756795422031473, ""y"": 39.42439470077661, ""width"": 8.798283261802576, ""height"": 3.7916857012334404}, {""x"": 64.44921316165951, ""y"": 43.39881224303335, ""width"": 8.6552217453505, ""height"": 4.476930105070808}]"
1,3,1,40.27181688125894,43.44449520328917,20.171673819742487,4.476930105070808,"[{""x"": 40.27181688125894, ""y"": 43.44449520328917, ""width"": 20.171673819742487, ""height"": 4.476930105070808}]"
1,4,1,26.967095851216023,43.76427592507994,9.370529327610871,3.654636820465966,"[{""x"": 26.967095851216023, ""y"": 43.76427592507994, ""width"": 9.370529327610873, ""height"": 3.654636820465966}, {""x"": 40.987124463519315, ""y"": 47.875742348104154, ""width"": 32.26037195994277, ""height"": 3.883051621745089}]"
1,5,1,26.824034334763947,48.05847418912745,9.871244635193133,3.608953860210141,"[{""x"": 26.824034334763947, ""y"": 48.05847418912745, ""width"": 9.871244635193133, ""height"": 3.6089538602101414}, {""x"": 48.569384835479255, ""y"": 51.895842850616724, ""width"": 23.605150214592275, ""height"": 4.522613065326634}]"
1,6,1,27.682403433476395,52.124257651895846,16.523605150214593,4.065783462768388,"[{""x"": 27.682403433476395, ""y"": 52.124257651895846, ""width"": 16.523605150214593, ""height"": 4.065783462768388}, {""x"": 52.71816881258942, ""y"": 56.3270899954317, ""width"": 16.237482117310442, ""height"": 4.476930105070808}]"
1,7,1,30.68669527896996,56.3270899954317,17.453505007153076,4.431247144814984,"[{""x"": 30.686695278969957, ""y"": 56.3270899954317, ""width"": 17.453505007153076, ""height"": 4.431247144814984}, {""x"": 41.84549356223176, ""y"": 60.666971219735046, ""width"": 21.745350500715308, ""height"": 4.065783462768388}]"
2,1,2,37.62517882689557,34.627683873915025,24.248927038626608,4.476930105070808,"[{""x"": 37.625178826895564, ""y"": 34.627683873915025, ""width"": 24.248927038626608, ""height"": 4.476930105070808}, {""x"": 30.829756795422032, ""y"": 38.64778437642759, ""width"": 38.054363376251786, ""height"": 4.248515303791685}, {""x"": 65.02145922746782, ""y"": 43.53586112380082, ""width"": 8.726752503576538, ""height"": 3.5175879396984926}]"
2,2,2,26.32331902718169,43.21608040201005,35.83690987124464,4.111466423024212,"[{""x"": 26.32331902718169, ""y"": 43.21608040201005, ""width"": 35.836909871244636, ""height"": 4.111466423024212}, {""x"": 51.716738197424895, ""y"": 47.73869346733669, ""width"": 22.317596566523605, ""height"": 4.202832343535861}]"
2,3,2,25.822603719599428,47.784376427592505,22.67525035765379,3.837368661489265,"[{""x"": 25.822603719599428, ""y"": 47.784376427592505, ""width"": 22.67525035765379, ""height"": 3.837368661489265}, {""x"": 29.184549356223176, ""y"": 51.94152581087255, ""width"": 44.49213161659514, ""height"": 4.339881224303334}]"
2,4,2,30.61516452074392,56.37277295568753,38.55507868383405,4.431247144814984,"[{""x"": 30.61516452074392, ""y"": 56.37277295568753, ""width"": 38.55507868383405, ""height"": 4.431247144814984}, {""x"": 43.13304721030043, ""y"": 60.98675194152581, ""width"": 16.80972818311874, ""height"": 3.837368661489265}]"
2,5,3,9.69055374592834,13.659205116491547,80.29315960912052,4.842393787117405,"[{""x"": 9.690553745928339, ""y"": 13.659205116491549, ""width"": 80.29315960912052, ""height"": 4.842393787117405}, {""x"": 72.71986970684038, ""y"": 18.638647784376428, ""width"": 17.263843648208468, ""height"": 4.431247144814984}]"
2,6,3,9.77198697068404,18.638647784376428,58.79478827361564,4.79671082686158,"[{""x"": 9.77198697068404, ""y"": 18.638647784376428, ""width"": 58.79478827361564, ""height"": 4.79671082686158}, {""x"": 35.74918566775244, ""y"": 23.069894929191413, ""width"": 53.82736156351792, ""height"": 5.207857469164002}]"
2,7,3,10.09771986970684,23.43535861123801,22.231270358306187,4.568296025582458,"[{""x"": 10.097719869706841, ""y"": 23.43535861123801, ""width"": 22.231270358306187, ""height"": 4.568296025582458}, {""x"": 14.087947882736158, ""y"": 28.049337597076292, ""width"": 74.7557003257329, ""height"": 5.025125628140704}]"
